ticker,cex,symbolToken,scToken,decToken,tickerPair,symbolPair,scPair,decPair,chain,favorite,dex_metax_ctd,dex_metax_dtc,dex_metax_pnl,dex_jumpx_ctd,dex_jumpx_dtc,dex_jumpx_pnl,dex_kyber_ctd,dex_kyber_dtc,dex_kyber_pnl,dex_okx_ctd,dex_okx_dtc,dex_okx_pnl,dex_krystal_ctd,dex_krystal_dtc,dex_krystal_pnl,feeWd_token_usdt,feeWd_pair_usdt,wd_token_ok,dp_pair_ok
"THE","binance","THEUSDT","0xf4c8e32eadec4bfe97e0f595add0f4450a863a11","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.14","0.01","1","1"
"TUSD","binance","TUSDUSDT","0x40af3827f39d0eacbf4a168f8d4ee67c121d11c9","18","WIN","WINUSDT","0xaeF0d72a118ce24feE3cD1d43d383897D05B4e99","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.019","911","1","1"
"XUSD","binance","XUSDUSDT","0xf81ac2e1a0373dde1bce01e2fe694a9b7e3bfcb9","6","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.1","0.01","1","1"
"SPK","binance","SPKUSDT","0xaff2e841851700d1fc101995ee6b81ae21bb87d7","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.89","0.01","1","1"
"SAND","binance","SANDUSDT","0x67b725d7e342d7b611fa85e859df9697d9378b2e","18","EDU","EDUUSDT","0xBdEAe1cA48894A1759A8374D63925f21f2Ee2639","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.24","0.26","1","1"
"KNC","binance","KNCUSDT","0xfe56d5892bdffc7bf58f2e84be1b2c32d21c308b","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.14","0.01","1","1"
"AUCTION","binance","AUCTIONUSDT","0x1188d953afc697c031851169eef640f23ac8529c","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.004","0.01","1","1"
"STO","binance","STOUSDT","0xdaf1695c41327b61b9b9965ac6a5843a3198cf07","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.23","0.01","1","1"
"EURI","binance","EURIUSDT","0x9d1a7a3191102e9f900faa10540837ba84dcbae7","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.017","0.01","1","1"
"ETC","binance","ETCUSDT","0x3d6545b08693dae087e957cb1180ee38b9e3c25e","18","LTC","LTCUSDT","0x4338665CBB7B2485A8855A139b75D5e34AB0DB94","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.0023","0.00034","1","1"
"EDU","binance","EDUUSDT","0xbdeae1ca48894a1759a8374d63925f21f2ee2639","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.26","0.01","1","1"
"CYBER","binance","CYBERUSDT","0x14778860e937f509e651192a90589de711fb88a9","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.036","0.01","1","1"
"COOKIE","binance","COOKIEUSDT","0xc0041ef357b183448b235a8ea73ce4e4ec8c265f","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","1.13","0.01","1","1"
"MAV","binance","MAVUSDT","0xd691d9a68c887bdf34da8c36f63487333acfd103","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","1.4","0.01","1","1"
"BNT","binance","BNTUSDT","0xa069008a669e2af00a86673d9d584cfb524a42cc","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.065","0.01","1","1"
"UNI","binance","UNIUSDT","0xbf5140a22578168fd562dccf235e5d43a02ce9b1","18","XVS","XVSUSDT","0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.0054","0.0068","1","1"
"LTC","binance","LTCUSDT","0x4338665cbb7b2485a8855a139b75d5e34ab0db94","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.00034","0.01","1","1"
"XVS","binance","XVSUSDT","0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63","18","CAKE","CAKEUSDT","0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.0068","0.014","1","1"
"PARTI","binance","PARTIUSDT","0x59264f02d301281f3393e1385c0aefd446eb0f00","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.2","0.01","1","1"
"SHELL","binance","SHELLUSDT","0xf2c88757f8d03634671208935974b60a2a28bdb3","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.65","0.01","1","1"
"NFP","binance","NFPUSDT","0x551897f8203bd131b350601d3ac0679ba0fc0136","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","1.22","0.01","1","1"
"IOST","binance","IOSTUSDT","0xaf48b7e315a52518cfbf7d96c455d9dfad94cb48","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","17","0.01","1","1"
"INJ","binance","INJUSDT","0xa2b726b1145a4773f68593cf171187d8ebe4d495","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.0062","0.01","1","1"
"XLM","binance","XLMUSDT","0x43c934a845205f0b514417d757d7235b8f53f1b9","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.12","0.01","1","1"
"DOT","binance","DOTUSDT","0x7083609fce4d1d8dc0c979aab8c869ea2c873402","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.013","0.01","1","1"
"ACE","binance","ACEUSDT","0xc27a719105a987b4c34116223cae8bd8f4b5def4","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.15","0.01","1","1"
"LINK","binance","LINKUSDT","0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.0021","0.01","1","1"
"USDE","binance","USDEUSDT","0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.2","0.01","1","1"
"DOGE","binance","DOGEUSDT","0xba2ae424d960c26247dd6c32edc70b295c744c43","8","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.2","0.01","1","1"
"XRP","binance","XRPUSDT","0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.013","0.01","1","1"
"BREV","binance","BREVUSDT","0x086f405146ce90135750bbec9a063a8b20a8bffb","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.16","0.01","1","1"
"FIL","binance","FILUSDT","0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153","18","XVS","XVSUSDT","0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.021","0.0068","1","1"
"ZEC","binance","ZECUSDT","0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.000083","0.01","1","1"
"SENT","binance","SENTUSDT","0x31138562aeb9706c7612e85d789581a21b5980a2","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","1","0.01","1","1"
"TUT","binance","TUTUSDT","0xcaae2a2f939f51d97cdfa9a86e79e3f085b799f3","18","TST","TSTUSDT","0x86Bb94DdD16Efc8bc58e6b056e8df71D9e666429","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","1.93","2.1","1","1"
"AXS","binance","AXSUSDT","0x715d400f88c167884bbcc41c5fea407ed4d2f8a0","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.017","0.01","1","1"
"RESOLV","binance","RESOLVUSDT","0xda6cef7f667d992a60eb823ab215493aa0c6b360","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.38","0.01","1","1"
"ADA","binance","ADAUSDT","0x3ee2200efb3400fabb9aacf31297cbdd1d435d47","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.073","0.01","1","1"
"ANKR","binance","ANKRUSDT","0xf307910a4c7bbc79691fd374889b36d8531b08e3","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","3.69","0.01","1","1"
"SOLV","binance","SOLVUSDT","0xabe8e5cabe24cb36df9540088fd7ce1175b9bc52","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","5.7","0.01","1","1"
"WIN","binance","WINUSDT","0xaef0d72a118ce24fee3cd1d43d383897d05b4e99","18","USDT","","0x55d398326f99059ff775485246999027b3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","911","0.01","1","1"
"CTSI","binance","CTSIUSDT","0x8da443f84fea710266c8eb6bc34b71702d033ef2","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.79","0.01","1","1"
"TOKEN","gate","TOKEN_USDT","0x4507cef57c46789ef8d1a19ea45f4216bae2b528","9","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","190.99","0.5","1","1"
"CTSI","indodax","ctsiidr","0x8da443f84fea710266c8eb6bc34b71702d033ef2","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0","0","1","1"
"TOKEN","indodax","tokenidr","0x4507cef57c46789ef8d1a19ea45f4216bae2b528","9","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0","0","1","1"
"ELF","indodax","elfidr","0xa3f020a5C92e15be13CAF0Ee5C95cF79585EeCC9","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0","0","1","1"
"IOTX","indodax","iotxidr","0x9678e42cebeb63f23197d726b29b1cb20d0064e5","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","true","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0","0","1","1"
"TOWNS","binance","TOWNSUSDT","0x00000000bca93b25a6694ca3d2109d545988b13b","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","5.11","0.01","1","1"
"ERA","binance","ERAUSDT","0x00312400303d02c323295f6e8b7309bc30fb6bce","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.15","0.01","1","1"
"PHA","binance","PHAUSDT","0x0112e557d400474717056c4e6d40edd846f38351","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.5","0.01","1","1"
"FET","binance","FETUSDT","0x031b41e504677879370e9dbcf937283a8691fa7f","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.083","0.01","1","1"
"PHB","binance","PHBUSDT","0x0409633a72d846fc5bbe2f98d88564d35987904d","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.17","0.01","1","1"
"HBAR","binance","HBARUSDT","0x0422f966bf8e978075a97d47ef4c7efd3563fa51","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.21","0.01","1","1"
"CFX","binance","CFXUSDT","0x045c4324039da91c52c55df5d785385aab073dcf","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.31","0.01","1","1"
"SLP","binance","SLPUSDT","0x070a08beef8d36734dd67a491202ff35a6a16d97","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","30","0.01","1","1"
"IDEX","binance","IDEXUSDT","0x0856978f7ffff0a2471b4520e3521c4b3343e36f","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","4.53","0.01","1","1"
"FIL","binance","FILUSDT","0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.021","0.01","1","1"
"CAKE","binance","CAKEUSDT","0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.014","0.01","1","1"
"ATOM","binance","ATOMUSDT","0x0eb3a705fc54725037cc9e008bdede697f62f335","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.011","0.01","1","1"
"BAT","binance","BATUSDT","0x101d82428437127bf1608f699cd651e6abf9766e","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.2","0.01","1","1"
"1INCH","binance","1INCHUSDT","0x111111111117dc0aa78b770fa6a738034120c302","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.2","0.01","1","1"
"YGG","binance","YGGUSDT","0x13ab6739368a4e4abf24695bf52959224367391f","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.49","0.01","1","1"
"ZKC","binance","ZKCUSDT","0x15247e6e23d3923a853ccf15940a20ccdf16e94a","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.25","0.01","1","1"
"JASMY","binance","JASMYUSDT","0x15669cf161946c09a8b207650bfbb00e3d8a2e3e","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","3.4","0.01","1","1"
"XTZ","binance","XTZUSDT","0x16939ef78684453bfdfb47825f8a5f714f12623a","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.049","0.01","1","1"
"MBL","binance","MBLUSDT","0x18e37f96628db3037d633fe4d469fb1933a63c5b","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","20","0.01","1","1"
"HOLO","binance","HOLOUSDT","0x1a5d7e4c3a7f940b240b7357a4bfed30d17f9497","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.34","0.01","1","1"
"AVAX","binance","AVAXUSDT","0x1ce0c2827e2ef14d5c4f29a091d735a204794041","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.002","0.01","1","1"
"CELR","binance","CELRUSDT","0x1f9f6a696c6fd109cd3956f45dc709d2b3902163","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","7.57","0.01","1","1"
"ETH","binance","ETHUSDT","0x2170ed0880ac9a755fd29b2688956bd959f933f8","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.0000089","0.01","1","1"
"TLM","binance","TLMUSDT","0x2222227e22102fe3322098e4cbfe18cfebd57c95","4","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","11","0.01","1","1"
"EDEN","binance","EDENUSDT","0x235b6fe22b4642ada16d311855c49ce7de260841","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.57","0.01","1","1"
"MANA","binance","MANAUSDT","0x26433c8127d9b4e9b71eaa15111df99ea2eeb2f8","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.22","0.01","1","1"
"SHIB","binance","SHIBUSDT","0x2859e4544c4bb03966803b044a93563bd2d0dd4d","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","3162","0.01","1","1"
"ALPINE","binance","ALPINEUSDT","0x287880ea252b52b63cc5f40a2d3e5a44aa665a76","8","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.047","0.01","1","1"
"KSM","binance","KSMUSDT","0x2aa69e8d25c045b659787bc1f03ce47a388db6e8","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.0043","0.01","1","1"
"PEOPLE","binance","PEOPLEUSDT","0x2c44b726adf1963ca47af88b284c06f30380fc78","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","2.8","0.01","1","1"
"ID","binance","IDUSDT","0x2dff88a56767223a5529ea5960da7a3f5f766406","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.48","0.01","1","1"
"MASK","binance","MASKUSDT","0x2ed9a5c8c13b93955103b9a7c167b67ef4d568a3","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.042","0.01","1","1"
"GMT","binance","GMTUSDT","0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1","8","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","1.81","0.01","1","1"
"SOPH","binance","SOPHUSDT","0x31dba3c96481fde3cd81c2aaf51f2d8bf618c742","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","2.04","0.01","1","1"
"MBOX","binance","MBOXUSDT","0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","1.19","0.01","1","1"
"BTTC","binance","BTTCUSDT","0x352cb5e19b12fc216548a2677bd0fce83bae434b","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","56182","0.01","1","1"
"LA","binance","LAUSDT","0x389ad4bb96d0d6ee5b6ef0efaf4b7db0ba2e02a0","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.092","0.01","1","1"
"BANANAS31","binance","BANANAS31USDT","0x3d4f0513e8a29669b960f9dbca61861548a9a760","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","1.25","0.01","1","1"
"ETC","binance","ETCUSDT","0x3d6545b08693dae087e957cb1180ee38b9e3c25e","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.0023","0.01","1","1"
"HAEDAL","binance","HAEDALUSDT","0x3d9be0ac1001cd81c32464276d863d2ffdca4967","9","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.64","0.01","1","1"
"DEGO","binance","DEGOUSDT","0x3da932456d082cba208feb0b096d49b202bf89c8","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","","0.01","","1"
"XPL","binance","XPLUSDT","0x405fbc9004d857903bfd6b3357792d71a50726b0","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.2","0.01","1","1"
"TUSD","binance","TUSDUSDT","0x40af3827f39d0eacbf4a168f8d4ee67c121d11c9","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.019","0.01","1","1"
"HFT","binance","HFTUSDT","0x44ec807ce2f4a6f2737a92e985f318d035883e47","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","1.39","0.01","1","1"
"WOO","binance","WOOUSDT","0x4691937a7508860f876c9c0a2a617e7d9e945d4b","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","1.09","0.01","1","1"
"WLFI","binance","WLFIUSDT","0x47474747477b199288bf72a1d702f7fe0fb1deea","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.19","0.01","1","1"
"PORTO","binance","PORTOUSDT","0x49f2145d6366099e13b10fbf80646c0f377ee7f6","8","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.019","0.01","1","1"
"TWT","binance","TWTUSDT","0x4b0f1812e5df2a09796481ff14017e6005508003","18","USDT","","0x55d398326f99059fF775485246999027B3197955","18","bsc","false","35","30","1","80","70","1","50","40","1","120","100","1","100","80","1","0.038","0.01","1","1"
